X,Y,OBJECTID,STUNITID1,STUNITID2,STUNITID3,SIGNAL_ID,COMPTYPE,INT_COMPKEY,INT_UNITID,UNITID,COMPKEY,INTKEY,SERVSTAT,UNITDESC,UNITTYPE,SIGNAL_PLAN,NCDOT_ID,BIKE_LOS,PED_LOS,INSTALLATION_DATE,PED_BUTTONS,APS_TYPE,UNITTYPEDESC
-80.7387511811943,35.2030004214265,61864,110,3821, ,466,74,135680,15195,00466,162026,135680,OP,ALBEMARLE RD_FARM POND LN,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00466.pdf,10-0486,D-,C,1982/09/21 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS (OPTICOM)
-80.8556034652008,35.2570368320558,61865,755,9342, ,833,74,129375,8890,00833,167313,129375,OP,BEATTIES FORD RD_RUSSELL AV,MPB,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00833.pdf,,C-,C,2004/02/23 00:00:00+00,Y,,MID BLOCK PED BEACON
-80.7472658240082,35.226631134048,61866,7495,9760, ,253,74,133002,12517,00253,161862,133002,OP,N SHARON AMITY RD_SHAMROCK DR,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00253.pdf,,E+,E+,1984/11/27 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.8401998340767,35.1738832112843,61867,2394,9677, ,538,74,138561,18076,00538,162495,138561,OP,COLONY RD_SELWYN AV,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00538.pdf,,D,B+,1983/02/04 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.8793534445759,35.1761440012129,61868,7876,,,1610,74,180720,50838,01610,179388,180720,OP,CATS PARK-N-RIDE_OLD PINEVILLE RD,TSV,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\01610.pdf,,,,2007/11/20 00:00:00+00,N,Polara2W,TRAFFIC SIGNAL W/ VIDEO DETECT
-80.8318866354828,35.1464529391242,61869,9783,17704,,1621,74,182752,51443,01621,180496,182752,OP,ASHLEY PARK LN_SHARON RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\01621.pdf,,,,2010/02/04 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.8452947022217,35.1787584282079,61870,5130,11649,,90065,74,138016,17531,90065,196571,138016,OP,HILLSIDE AV_WESTFIELD RD,MSF,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\90065.pdf,,,,,Y,,MULTI-WAY STOP FLASHER
-80.7949735585709,35.1544493068476,61871,3774,8662,9567,510,74,140410,19925,00510,162321,140410,OP,FAIRVIEW RD_PROVIDENCE RD_SARDIS RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00510.pdf,,E,D,1970/06/05 00:00:00+00,Y,Polara2WEZ,TRAFFIC SIGNAL WITH LOOPS
-80.8228768251102,35.156627993812,61872,16495,9783,,1728,74,172180,47162,01728,233911,172180,OP,SHARON RD_SHARON TOWNSHIP LN,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\01728.pdf,,,,2018/03/01 00:00:00+00,Y,Polara2WEZ,TRAFFIC SIGNAL WITH LOOPS
-80.8264927783888,35.2121740223817,61873,3349,4893,8723,417,74,134578,14093,00417,161935,134578,OP,E 4TH ST_HAWTHORNE LN_QUEENS RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00417.pdf,,D-,C,1951/04/17 00:00:00+00,N,,TRAFFIC SIGNAL WITH LOOPS
-80.7362188017607,35.258285286653,61874,3399,10766, ,243,74,129410,8925,00243,162919,129410,OP,E W T HARRIS BV_THE PLAZA,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00243.pdf,10-0362,D-,E+,1983/10/19 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.7666685727395,35.1064699779495,61875,930,5316,8430,1546,74,144859,24374,01546,162838,144859,OP,BEVERLY CREST BV_HUGH FOREST RD_PINEVILLE-MATTHEWS RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\01546.pdf,,E-,D+,1996/10/31 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.778915816806,35.2960507221724,61876,,,,80021,74,,,80021,173812,,OP,JAMES MARTIN_MOREHEAD ELEM_NATHANIEL ALEXANDER_VANCE HIGH SCHOOL,SF,,,,,2005/08/24 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
-80.940416400541,35.2373021908018,61877,6395,16296, ,937,74,131421,10936,00937,163033,131421,OP,LITTLE ROCK RD_SCOTT FUTRELL DR,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00937.pdf,,D,C-,1995/12/15 00:00:00+00,N,,TRAFFIC SIGNAL WITH LOOPS
-80.84999000461,35.2330090065408,61878,7433,9373,11388,805,74,132077,11592,00805,162665,132077,OP,N CEDAR ST_S CEDAR ST_W TRADE ST,TSV,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00805.pdf,,E+,C,1951/04/17 00:00:00+00,Y,,TRAFFIC SIGNAL W/ VIDEO DETECT
-80.779898723488,35.2425373080977,61879,3393,3468,8685,250,74,131115,10630,00250,161860,131115,OP,E SUGAR CREEK RD_EASTWAY DR_PURSER DR,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00250.pdf,10-0241,D-,D,1983/02/15 00:00:00+00,N,,TRAFFIC SIGNAL WITH LOOPS
-80.7199924232643,35.2284480308099,61880,,,,80010,74,,,80010,173801,,OP,HICKORY GROVE ELEMENTARY SCHOOL,SF,,,,,2006/09/05 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
-80.8102679813442,35.2518904115483,61881,464,7503, ,209,74,129932,9447,00209,161778,129932,OP,ATANDO AV_N TRYON ST,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00209.pdf,10-0108,D,C,1951/04/17 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.8236511472946,35.0335944678791,61882,,,,80003,74,,,80003,173794,,OP,COMMUNITY HOUSE MIDDLE SCHOOL,SF,,,,,2006/07/18 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
-80.762754453578,35.2121458123429,61883,1964,9236, ,459,74,134698,14213,00459,161960,134698,OP,CENTRAL AV_ROSEHAVEN DR,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00459.pdf,,C,B-,1982/10/26 00:00:00+00,Y,Polara4W,TRAFFIC SIGNAL WITH LOOPS (OPTICOM)
-80.8731745453253,35.2588508153595,61884,,,,90010,74,129184,8699,90010,173687,,OP,FLASHER  IDAHO DR_W BROOKSHIRE FR,MSF,,10-1960,,,,N,,MULTI-WAY STOP FLASHER
-80.7450380654146,35.2238668764428,61885,13094,5039,9760,254,74,133315,12830,00254,161863,133315,OP,CARYA POND LN_HICKORY GROVE RD_SHAMROCK DR,TSV,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00254.pdf,,C,A,1998/01/22 00:00:00+00,Y,Polara4W,TRAFFIC SIGNAL W/ VIDEO DETECT
-80.8433662946726,35.2222572409172,61886,3340,9368, ,32,74,133334,12849,00032,161748,133334,OP,E MARTIN LUTHER KING JR BV_S BREVARD ST,TS,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00032.pdf,,D-,A,1951/11/19 00:00:00+00,N,,TRAFFIC SIGNAL W/ FIXED TIME
-80.9622776327365,35.1151676218193,61887,7328,9447, ,785,74,143922,23437,00785,162654,143922,OP,MOSS RD_S TRYON ST,TSV,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00785.pdf,,D-,C,2004/05/15 00:00:00+00,Y,,TRAFFIC SIGNAL W/ VIDEO DETECT (OPTICOM)
-80.8445269138195,35.2199246931409,61888,3392,9370, ,22,74,133618,13133,00022,161741,133618,OP,E STONEWALL ST_S CALDWELL ST,TS,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00022.pdf,10-0202,D,D+,1974/07/02 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.8556100621968,35.2136792312202,61889,3387,10034, ,608,74,134339,13854,00608,162551,134339,OP,E PARK AV_SOUTH BV,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00608.pdf,,E,B-,1951/04/17 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.7992317721887,35.219310281938,61890,1964,7299, ,454,74,133781,13296,00454,161955,133781,OP,CENTRAL AV_MORNINGSIDE DR,TSV,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00454.pdf,,D-,B+,1983/02/28 00:00:00+00,Y,Polara2WEZ,TRAFFIC SIGNAL W/ VIDEO DETECT (OPTICOM)
-80.8091802973504,35.1325778564863,61891,1771,2394, ,1562,74,142395,21910,01562,162537,142395,OP,CARMEL RD_COLONY RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\01562.pdf,,E+,C-,2000/05/12 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.8079307884972,35.1051529012183,61892,2394,8842, ,1563,74,154904,32046,01563,165436,154904,OP,COLONY RD_REA RD,TSV,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\01563.pdf,,C,C-,2000/05/12 00:00:00+00,Y,,TRAFFIC SIGNAL W/ VIDEO DETECT
-80.8231609461876,35.1721869891387,61893,9451,9783, ,521,74,138749,18264,00521,162364,138749,OP,S WENDOVER RD_SHARON RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00521.pdf,,C-,D,1987/11/19 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.8345789995239,35.228395292574,61894,3354,7426, ,116,74,132645,12160,00116,161824,132645,OP,E 9TH ST_N BREVARD ST,TS,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00116.pdf,,C,A,1951/10/05 00:00:00+00,N,,TRAFFIC SIGNAL W/ FIXED TIME
-80.8926208863143,35.128970294824,61895,3369,7528,11366,755,74,142631,22146,00755,162634,142631,OP,E HEBRON ST_NATIONS FORD RD_W HEBRON ST,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00755.pdf,,D+,D,1991/07/24 00:00:00+00,N,,TRAFFIC SIGNAL WITH LOOPS
-80.8008013757424,35.2552618583522,61896,,,,80011,74,,,80011,173802,,OP,"HIGLAND RENAISSANCE ACADEMY SCHOOL
",SF,,,,,2005/02/17 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
-80.6864476238904,35.218568605422,61897,,,,80083,74,,,80083,230842,,OP,JH GUNN ELEMENTARY SCHOOL,SF,,,,,2014/08/23 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
-80.7803979678577,35.2434556187513,61898,,,,80060,74,,,80060,183112,,OP,GARINGER HIGH SCHOOL,SF,,,,,2009/08/21 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
-80.8312942998081,35.0826361705951,61899,,,,80016,74,,,80016,173807,,OP,MCALPINE ELEMENTARY SCHOOL,SF,,,,,1998/08/12 00:00:00+00,Y,,SCHOOL FLASHER (SPEED REDUCT)
-80.7542725713723,35.3090106005212,61900,11392,6912,5538,350,74,126010,5525,00350,162942,126010,OP,J W CLAY BV_MCCULLOUGH DR_W W T HARRIS BV,TSV,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00350.pdf,10-1087,E,F,1994/09/29 00:00:00+00,Y,,TRAFFIC SIGNAL W/ VIDEO DETECT
-80.9056639582628,35.235659511961,61901,,,,80061,74,,,80061,183113,,OP,HARDING UNIVERSITY HIGH SCHOOL,SF,,,,,2011/08/10 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
-80.7729110446827,35.2003108565975,61902,,,,469,74,,,00469,167980,,OP,ALBEMARLE RD_INDEPENDENCE BV (BUS LANE RAMP),TSV,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00469.pdf,10-1961,,,2005/09/29 00:00:00+00,N,,TRAFFIC SIGNAL W/ VIDEO DETECT
-80.8615486709098,35.0405410283775,61903,6090,8665, ,511,74,148500,28015,00511,168893,148500,OP,LANCASTER HY_PROVIDENCE RD WEST,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00511.pdf,,E+,C,2005/05/26 00:00:00+00,N,,TRAFFIC SIGNAL WITH LOOPS
-80.8340672361878,35.2175925555251,61904,3349,3375, ,404,74,133787,13302,00404,163002,133787,OP,E 4TH ST_E JOHN BELK RA,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00404.pdf,10-0918,D,A-,1993/08/12 00:00:00+00,Y,,TRAFFIC SIGNAL W/ FIXED TIME
-80.7736334350108,35.2620963267334,61905,,,,80077,74,,,80077,184874,,OP,CROSSROADS CHARTER HIGH SCHOOL,SF,,,,,2010/09/24 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
-80.7932393526873,35.048122348322,61906,,,,80065,74,,,80065,183117,,OP,POLO RIDGE ELEMENTARY SCHOOL,SF,,,,,2009/08/19 00:00:00+00,N,,SCHOOL FLASHER (SPEED REDUCT)
-80.8478830557472,35.1402338335715,61907,,,,623,74,,,00623 ,165492,,OP,FIRE STATION 16 ,ES,,,,,2018/10/20 00:00:00+00,,,Emergency signal
-80.7473154492379,35.2512812436425,61908,672,10766, ,242,74,130095,9610,00242,162918,130095,OP,BARRINGTON DR_THE PLAZA,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00242.pdf,10-0721,E,C+,1997/05/28 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
-80.8796576473772,35.1780139910238,61909,3404,7876, ,622,74,138040,17555,00622,162563,138040,OP,E WOODLAWN RD_OLD PINEVILLE RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00622.pdf,,C,C+,1970/01/29 00:00:00+00,N,Polara2W,TRAFFIC SIGNAL WITH LOOPS
-80.8185255000812,35.2213244529448,61910,4893,1964, ,422,74,133492,13007,00422,163006,133492,OP,CENTRAL AV_HAWTHORNE LN,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\00422.pdf,,E,C+,1985/04/24 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS (OPTICOM)
-80.8502536614239,35.0546646395828,61911,581,5644, ,1569,74,147975,27490,01569,162982,147975,OP,BALLANTYNE COMMONS PY_JOHNSTON RD,TSL,\\myrs-file-002\cdotshared$\CDOT EngineeringOperations Div\Implementation\Signal Design\PDF Signal File\Current Signals Plans\01569.pdf,,F,D-,1995/09/26 00:00:00+00,Y,,TRAFFIC SIGNAL WITH LOOPS
